cohort	bin	evidence	feature_type	assertion	event counts	patient counts
SU2C	Investigate Actionability	Guideline	Mutational signature	prognostic	0	0
SU2C	Investigate Actionability	Guideline	Rearrangement	prognostic	1	1
SU2C	Investigate Actionability	Guideline	Somatic copy number	prognostic	0	0
SU2C	Investigate Actionability	Guideline	Somatic variant	prognostic	55	44
SU2C	Investigate Actionability	Guideline	Tumor mutational burden	prognostic	0	0
SU2C	Investigate Actionability	Inferential	Aneuploidy	prognostic	75	75
SU2C	Investigate Actionability	Inferential	Germline variant	prognostic	0	0
SU2C	Investigate Actionability	Inferential	Mutational signature	prognostic	0	0
SU2C	Investigate Actionability	Inferential	Rearrangement	prognostic	0	0
SU2C	Investigate Actionability	Inferential	Somatic copy number	prognostic	0	0
SU2C	Investigate Actionability	Inferential	Somatic variant	prognostic	6	6
SU2C	Investigate Actionability	Inferential	Tumor mutational burden	prognostic	0	0
SU2C	Investigate Actionability	Preclinical	Aneuploidy	prognostic	0	0
SU2C	Investigate Actionability	Preclinical	Germline variant	prognostic	0	0
SU2C	Investigate Actionability	Preclinical	Mutational signature	prognostic	0	0
SU2C	Investigate Actionability	Preclinical	Rearrangement	prognostic	0	0
SU2C	Investigate Actionability	Preclinical	Somatic copy number	prognostic	1	1
SU2C	Investigate Actionability	Preclinical	Somatic variant	prognostic	0	0
SU2C	Investigate Actionability	Preclinical	Tumor mutational burden	prognostic	0	0
SU2C	Putatively Actionable	Clinical evidence	Aneuploidy	prognostic	0	0
SU2C	Putatively Actionable	Clinical evidence	Germline variant	prognostic	0	0
SU2C	Putatively Actionable	Clinical evidence	Mutational signature	prognostic	0	0
SU2C	Putatively Actionable	Clinical evidence	Rearrangement	prognostic	46	46
SU2C	Putatively Actionable	Clinical evidence	Somatic copy number	prognostic	26	24
SU2C	Putatively Actionable	Clinical evidence	Somatic variant	prognostic	0	0
SU2C	Putatively Actionable	Clinical evidence	Tumor mutational burden	prognostic	0	0
SU2C	Putatively Actionable	Clinical trial	Aneuploidy	prognostic	0	0
SU2C	Putatively Actionable	Clinical trial	Germline variant	prognostic	0	0
SU2C	Putatively Actionable	Clinical trial	Mutational signature	prognostic	0	0
SU2C	Putatively Actionable	Clinical trial	Rearrangement	prognostic	0	0
SU2C	Putatively Actionable	Clinical trial	Somatic copy number	prognostic	0	0
SU2C	Putatively Actionable	Clinical trial	Somatic variant	prognostic	2	2
SU2C	Putatively Actionable	Clinical trial	Tumor mutational burden	prognostic	0	0
SU2C	Putatively Actionable	FDA-Approved	Aneuploidy	prognostic	0	0
SU2C	Putatively Actionable	FDA-Approved	Germline variant	prognostic	0	0
SU2C	Putatively Actionable	FDA-Approved	Mutational signature	prognostic	0	0
SU2C	Putatively Actionable	FDA-Approved	Rearrangement	prognostic	0	0
SU2C	Putatively Actionable	FDA-Approved	Somatic copy number	prognostic	0	0
SU2C	Putatively Actionable	FDA-Approved	Somatic variant	prognostic	0	0
SU2C	Putatively Actionable	FDA-Approved	Tumor mutational burden	prognostic	0	0
SU2C	Putatively Actionable	Guideline	Aneuploidy	prognostic	0	0
SU2C	Putatively Actionable	Guideline	Germline variant	prognostic	0	0
SU2C	Putatively Actionable	Guideline	Mutational signature	prognostic	0	0
SU2C	Putatively Actionable	Guideline	Rearrangement	prognostic	0	0
SU2C	Putatively Actionable	Guideline	Somatic copy number	prognostic	31	27
SU2C	Putatively Actionable	Guideline	Somatic variant	prognostic	0	0
SU2C	Putatively Actionable	Guideline	Tumor mutational burden	prognostic	0	0
SU2C	Putatively Actionable	Inferential	Aneuploidy	prognostic	0	0
SU2C	Putatively Actionable	Inferential	Germline variant	prognostic	0	0
SU2C	Putatively Actionable	Inferential	Mutational signature	prognostic	0	0
SU2C	Putatively Actionable	Inferential	Rearrangement	prognostic	0	0
SU2C	Putatively Actionable	Inferential	Somatic copy number	prognostic	0	0
SU2C	Putatively Actionable	Inferential	Somatic variant	prognostic	0	0
SU2C	Putatively Actionable	Inferential	Tumor mutational burden	prognostic	0	0
SU2C	Putatively Actionable	Preclinical	Aneuploidy	prognostic	0	0
SU2C	Putatively Actionable	Preclinical	Germline variant	prognostic	0	0
SU2C	Putatively Actionable	Preclinical	Mutational signature	prognostic	0	0
SU2C	Putatively Actionable	Preclinical	Rearrangement	prognostic	0	0
SU2C	Putatively Actionable	Preclinical	Somatic copy number	prognostic	2	2
SU2C	Putatively Actionable	Preclinical	Somatic variant	prognostic	0	0
SU2C	Putatively Actionable	Preclinical	Tumor mutational burden	prognostic	0	0
SU2C	Investigate Actionability	Clinical evidence	Aneuploidy	resistance	0	0
SU2C	Investigate Actionability	Clinical evidence	Germline variant	resistance	0	0
SU2C	Investigate Actionability	Clinical evidence	Mutational signature	resistance	0	0
SU2C	Investigate Actionability	Clinical evidence	Rearrangement	resistance	0	0
SU2C	Investigate Actionability	Clinical evidence	Somatic copy number	resistance	3	3
SU2C	Investigate Actionability	Clinical evidence	Somatic variant	resistance	42	38
SU2C	Investigate Actionability	Clinical evidence	Tumor mutational burden	resistance	0	0
SU2C	Investigate Actionability	Clinical trial	Aneuploidy	resistance	0	0
SU2C	Investigate Actionability	Clinical trial	Germline variant	resistance	0	0
SU2C	Investigate Actionability	Clinical trial	Mutational signature	resistance	0	0
SU2C	Investigate Actionability	Clinical trial	Rearrangement	resistance	0	0
SU2C	Investigate Actionability	Clinical trial	Somatic copy number	resistance	0	0
SU2C	Investigate Actionability	Clinical trial	Somatic variant	resistance	0	0
SU2C	Investigate Actionability	Clinical trial	Tumor mutational burden	resistance	0	0
SU2C	Investigate Actionability	FDA-Approved	Aneuploidy	resistance	0	0
SU2C	Investigate Actionability	FDA-Approved	Germline variant	resistance	0	0
SU2C	Investigate Actionability	FDA-Approved	Mutational signature	resistance	0	0
SU2C	Investigate Actionability	FDA-Approved	Rearrangement	resistance	0	0
SU2C	Investigate Actionability	FDA-Approved	Somatic copy number	resistance	0	0
SU2C	Investigate Actionability	FDA-Approved	Somatic variant	resistance	0	0
SU2C	Investigate Actionability	FDA-Approved	Tumor mutational burden	resistance	0	0
SU2C	Investigate Actionability	Guideline	Aneuploidy	resistance	0	0
SU2C	Investigate Actionability	Guideline	Germline variant	resistance	0	0
SU2C	Investigate Actionability	Guideline	Mutational signature	resistance	0	0
SU2C	Investigate Actionability	Guideline	Rearrangement	resistance	0	0
SU2C	Investigate Actionability	Guideline	Somatic copy number	resistance	0	0
SU2C	Investigate Actionability	Guideline	Somatic variant	resistance	63	61
SU2C	Investigate Actionability	Guideline	Tumor mutational burden	resistance	0	0
SU2C	Investigate Actionability	Inferential	Aneuploidy	resistance	0	0
SU2C	Investigate Actionability	Inferential	Germline variant	resistance	0	0
SU2C	Investigate Actionability	Inferential	Mutational signature	resistance	0	0
SU2C	Investigate Actionability	Inferential	Rearrangement	resistance	0	0
SU2C	Investigate Actionability	Inferential	Somatic copy number	resistance	0	0
SU2C	Investigate Actionability	Inferential	Somatic variant	resistance	0	0
SU2C	Investigate Actionability	Inferential	Tumor mutational burden	resistance	0	0
SU2C	Investigate Actionability	Preclinical	Aneuploidy	resistance	0	0
SU2C	Investigate Actionability	Preclinical	Germline variant	resistance	0	0
SU2C	Investigate Actionability	Preclinical	Mutational signature	resistance	0	0
SU2C	Investigate Actionability	Preclinical	Rearrangement	resistance	0	0
SU2C	Investigate Actionability	Preclinical	Somatic copy number	resistance	0	0
SU2C	Investigate Actionability	Preclinical	Somatic variant	resistance	5	4
SU2C	Investigate Actionability	Preclinical	Tumor mutational burden	resistance	0	0
SU2C	Putatively Actionable	Clinical evidence	Aneuploidy	resistance	0	0
SU2C	Putatively Actionable	Clinical evidence	Germline variant	resistance	0	0
SU2C	Putatively Actionable	Clinical evidence	Mutational signature	resistance	0	0
SU2C	Putatively Actionable	Clinical evidence	Rearrangement	resistance	0	0
SU2C	Putatively Actionable	Clinical evidence	Somatic copy number	resistance	42	42
SU2C	Putatively Actionable	Clinical evidence	Somatic variant	resistance	12	12
SU2C	Putatively Actionable	Clinical evidence	Tumor mutational burden	resistance	0	0
SU2C	Putatively Actionable	Clinical trial	Aneuploidy	resistance	0	0
SU2C	Putatively Actionable	Clinical trial	Germline variant	resistance	0	0
SU2C	Putatively Actionable	Clinical trial	Mutational signature	resistance	0	0
SU2C	Putatively Actionable	Clinical trial	Rearrangement	resistance	0	0
SU2C	Putatively Actionable	Clinical trial	Somatic copy number	resistance	0	0
SU2C	Putatively Actionable	Clinical trial	Somatic variant	resistance	0	0
SU2C	Putatively Actionable	Clinical trial	Tumor mutational burden	resistance	0	0
SU2C	Putatively Actionable	FDA-Approved	Aneuploidy	resistance	0	0
SU2C	Putatively Actionable	FDA-Approved	Germline variant	resistance	0	0
SU2C	Putatively Actionable	FDA-Approved	Mutational signature	resistance	0	0
SU2C	Putatively Actionable	FDA-Approved	Rearrangement	resistance	0	0
SU2C	Putatively Actionable	FDA-Approved	Somatic copy number	resistance	0	0
SU2C	Putatively Actionable	FDA-Approved	Somatic variant	resistance	0	0
SU2C	Putatively Actionable	FDA-Approved	Tumor mutational burden	resistance	0	0
SU2C	Putatively Actionable	Guideline	Aneuploidy	resistance	0	0
SU2C	Putatively Actionable	Guideline	Germline variant	resistance	0	0
SU2C	Putatively Actionable	Guideline	Mutational signature	resistance	0	0
SU2C	Putatively Actionable	Guideline	Rearrangement	resistance	0	0
SU2C	Putatively Actionable	Guideline	Somatic copy number	resistance	82	82
SU2C	Putatively Actionable	Guideline	Somatic variant	resistance	0	0
SU2C	Putatively Actionable	Guideline	Tumor mutational burden	resistance	0	0
SU2C	Putatively Actionable	Inferential	Aneuploidy	resistance	0	0
SU2C	Putatively Actionable	Inferential	Germline variant	resistance	0	0
SU2C	Putatively Actionable	Inferential	Mutational signature	resistance	0	0
SU2C	Putatively Actionable	Inferential	Rearrangement	resistance	0	0
SU2C	Putatively Actionable	Inferential	Somatic copy number	resistance	0	0
SU2C	Putatively Actionable	Inferential	Somatic variant	resistance	0	0
SU2C	Putatively Actionable	Inferential	Tumor mutational burden	resistance	0	0
SU2C	Putatively Actionable	Preclinical	Aneuploidy	resistance	0	0
SU2C	Putatively Actionable	Preclinical	Germline variant	resistance	0	0
SU2C	Putatively Actionable	Preclinical	Mutational signature	resistance	0	0
SU2C	Putatively Actionable	Preclinical	Rearrangement	resistance	0	0
SU2C	Putatively Actionable	Preclinical	Somatic copy number	resistance	5	5
SU2C	Putatively Actionable	Preclinical	Somatic variant	resistance	0	0
SU2C	Putatively Actionable	Preclinical	Tumor mutational burden	resistance	0	0
SU2C	Investigate Actionability	Clinical evidence	Aneuploidy	sensitive	0	0
SU2C	Investigate Actionability	Clinical evidence	Germline variant	sensitive	0	0
SU2C	Investigate Actionability	Clinical evidence	Mutational signature	sensitive	0	0
SU2C	Investigate Actionability	Clinical evidence	Rearrangement	sensitive	0	0
SU2C	Investigate Actionability	Clinical evidence	Somatic copy number	sensitive	0	0
SU2C	Investigate Actionability	Clinical evidence	Somatic variant	sensitive	18	12
SU2C	Investigate Actionability	Clinical evidence	Tumor mutational burden	sensitive	0	0
SU2C	Investigate Actionability	Clinical trial	Aneuploidy	sensitive	0	0
SU2C	Investigate Actionability	Clinical trial	Germline variant	sensitive	0	0
SU2C	Investigate Actionability	Clinical trial	Mutational signature	sensitive	0	0
SU2C	Investigate Actionability	Clinical trial	Rearrangement	sensitive	0	0
SU2C	Investigate Actionability	Clinical trial	Somatic copy number	sensitive	0	0
SU2C	Investigate Actionability	Clinical trial	Somatic variant	sensitive	5	5
SU2C	Investigate Actionability	Clinical trial	Tumor mutational burden	sensitive	0	0
SU2C	Investigate Actionability	FDA-Approved	Aneuploidy	sensitive	0	0
SU2C	Investigate Actionability	FDA-Approved	Germline variant	sensitive	0	0
SU2C	Investigate Actionability	FDA-Approved	Mutational signature	sensitive	0	0
SU2C	Investigate Actionability	FDA-Approved	Rearrangement	sensitive	13	2
SU2C	Investigate Actionability	FDA-Approved	Somatic copy number	sensitive	0	0
SU2C	Investigate Actionability	FDA-Approved	Somatic variant	sensitive	42	28
SU2C	Investigate Actionability	FDA-Approved	Tumor mutational burden	sensitive	4	4
SU2C	Investigate Actionability	Guideline	Aneuploidy	sensitive	0	0
SU2C	Investigate Actionability	Guideline	Germline variant	sensitive	0	0
SU2C	Investigate Actionability	Guideline	Mutational signature	sensitive	0	0
SU2C	Investigate Actionability	Guideline	Rearrangement	sensitive	21	15
SU2C	Investigate Actionability	Guideline	Somatic copy number	sensitive	0	0
SU2C	Investigate Actionability	Guideline	Somatic variant	sensitive	3	3
SU2C	Investigate Actionability	Guideline	Tumor mutational burden	sensitive	0	0
SU2C	Investigate Actionability	Inferential	Aneuploidy	sensitive	0	0
SU2C	Investigate Actionability	Inferential	Germline variant	sensitive	0	0
SU2C	Investigate Actionability	Inferential	Mutational signature	sensitive	35	35
SU2C	Investigate Actionability	Inferential	Rearrangement	sensitive	4	2
SU2C	Investigate Actionability	Inferential	Somatic copy number	sensitive	3	3
SU2C	Investigate Actionability	Inferential	Somatic variant	sensitive	3	2
SU2C	Investigate Actionability	Inferential	Tumor mutational burden	sensitive	0	0
SU2C	Investigate Actionability	Preclinical	Aneuploidy	sensitive	0	0
SU2C	Investigate Actionability	Preclinical	Germline variant	sensitive	0	0
SU2C	Investigate Actionability	Preclinical	Mutational signature	sensitive	0	0
SU2C	Investigate Actionability	Preclinical	Rearrangement	sensitive	23	15
SU2C	Investigate Actionability	Preclinical	Somatic copy number	sensitive	6	6
SU2C	Investigate Actionability	Preclinical	Somatic variant	sensitive	46	35
SU2C	Investigate Actionability	Preclinical	Tumor mutational burden	sensitive	0	0
SU2C	Putatively Actionable	Clinical evidence	Aneuploidy	sensitive	0	0
SU2C	Putatively Actionable	Clinical evidence	Germline variant	sensitive	0	0
SU2C	Putatively Actionable	Clinical evidence	Mutational signature	sensitive	0	0
SU2C	Putatively Actionable	Clinical evidence	Rearrangement	sensitive	0	0
SU2C	Putatively Actionable	Clinical evidence	Somatic copy number	sensitive	1	1
SU2C	Putatively Actionable	Clinical evidence	Somatic variant	sensitive	0	0
SU2C	Putatively Actionable	Clinical evidence	Tumor mutational burden	sensitive	0	0
SU2C	Putatively Actionable	Clinical trial	Aneuploidy	sensitive	0	0
SU2C	Putatively Actionable	Clinical trial	Germline variant	sensitive	0	0
SU2C	Putatively Actionable	Clinical trial	Mutational signature	sensitive	0	0
SU2C	Putatively Actionable	Clinical trial	Rearrangement	sensitive	0	0
SU2C	Putatively Actionable	Clinical trial	Somatic copy number	sensitive	11	11
SU2C	Putatively Actionable	Clinical trial	Somatic variant	sensitive	0	0
SU2C	Putatively Actionable	Clinical trial	Tumor mutational burden	sensitive	0	0
SU2C	Putatively Actionable	FDA-Approved	Aneuploidy	sensitive	0	0
SU2C	Putatively Actionable	FDA-Approved	Germline variant	sensitive	0	0
SU2C	Putatively Actionable	FDA-Approved	Mutational signature	sensitive	0	0
SU2C	Putatively Actionable	FDA-Approved	Rearrangement	sensitive	0	0
SU2C	Putatively Actionable	FDA-Approved	Somatic copy number	sensitive	0	0
SU2C	Putatively Actionable	FDA-Approved	Somatic variant	sensitive	0	0
SU2C	Putatively Actionable	FDA-Approved	Tumor mutational burden	sensitive	0	0
SU2C	Putatively Actionable	Guideline	Aneuploidy	sensitive	0	0
SU2C	Putatively Actionable	Guideline	Germline variant	sensitive	0	0
SU2C	Putatively Actionable	Guideline	Mutational signature	sensitive	0	0
SU2C	Putatively Actionable	Guideline	Rearrangement	sensitive	0	0
SU2C	Putatively Actionable	Guideline	Somatic copy number	sensitive	83	82
SU2C	Putatively Actionable	Guideline	Somatic variant	sensitive	0	0
SU2C	Putatively Actionable	Guideline	Tumor mutational burden	sensitive	0	0
SU2C	Putatively Actionable	Inferential	Aneuploidy	sensitive	0	0
SU2C	Putatively Actionable	Inferential	Germline variant	sensitive	0	0
SU2C	Putatively Actionable	Inferential	Mutational signature	sensitive	0	0
SU2C	Putatively Actionable	Inferential	Rearrangement	sensitive	0	0
SU2C	Putatively Actionable	Inferential	Somatic copy number	sensitive	12	12
SU2C	Putatively Actionable	Inferential	Somatic variant	sensitive	0	0
SU2C	Putatively Actionable	Inferential	Tumor mutational burden	sensitive	0	0
SU2C	Putatively Actionable	Preclinical	Aneuploidy	sensitive	0	0
SU2C	Putatively Actionable	Preclinical	Germline variant	sensitive	0	0
SU2C	Putatively Actionable	Preclinical	Mutational signature	sensitive	0	0
SU2C	Putatively Actionable	Preclinical	Rearrangement	sensitive	46	46
SU2C	Putatively Actionable	Preclinical	Somatic copy number	sensitive	56	53
SU2C	Putatively Actionable	Preclinical	Somatic variant	sensitive	4	4
SU2C	Putatively Actionable	Preclinical	Tumor mutational burden	sensitive	0	0
